ORGAN_CODE,CATEGORY,YY,VAL
4690000,호우,2018,
4700000,호우,2018,797468
4710000,호우,2018,19195
4720000,호우,2018,52423
4730000,호우,2018,6408
4740000,호우,2018,4595
4750000,호우,2018,1511261
4760000,호우,2018,27000
4770000,호우,2018,8432
4780000,호우,2018,
4790000,호우,2018,
4800000,호우,2018,
4810000,호우,2018,
4820000,호우,2018,2303
4830000,호우,2018,2700
4840000,호우,2018,
4850000,호우,2018,
4860000,호우,2018,5480
4870000,호우,2018,655433
4880000,호우,2018,
4890000,호우,2018,69013
4900000,호우,2018,
4910000,호우,2018,
4920000,호우,2018,
4930000,호우,2018,
4940000,호우,2018,
4950000,호우,2018,
4960000,호우,2018,440427
4970000,호우,2018,21900
4980000,호우,2018,23504
4990000,호우,2018,
5000000,호우,2018,
5010000,호우,2018,1800
5020000,호우,2018,
5030000,호우,2018,
5040000,호우,2018,71235
5050000,호우,2018,140822
5060000,호우,2018,
5070000,호우,2018,21000
5080000,호우,2018,322170
5090000,호우,2018,73000
5100000,호우,2018,
5110000,호우,2018,53
5120000,호우,2018,10804
5130000,호우,2018,
5140000,호우,2018,
5150000,호우,2018,522532
5160000,호우,2018,
5170000,호우,2018,
5180000,호우,2018,
5190000,호우,2018,
5200000,호우,2018,
5210000,호우,2018,
5220000,호우,2018,165407
5230000,호우,2018,
5240000,호우,2018,
5250000,호우,2018,
5670000,호우,2018,
5670123,호우,2018,
5670140,호우,2018,
5670156,호우,2018,
5670206,호우,2018,
5310000,호우,2018,
5330000,호우,2018,
5340000,호우,2018,
5350000,호우,2018,
5360000,호우,2018,237187
5370000,호우,2018,
5380000,호우,2018,900
5390000,호우,2018,900
5400000,호우,2018,26571
5410000,호우,2018,
5420000,호우,2018,
5440000,호우,2018,54806
5450000,호우,2018,424239
5460000,호우,2018,3122146
5470000,호우,2018,2450
5480000,호우,2018,158
6510000,호우,2018,
6520000,호우,2018,11598
3420000,대설,2018,18232
3460000,대설,2018,29528
3480000,대설,2018,36980
3630000,대설,2018,175
3730000,대설,2018,4801
3960100,대설,2018,20200
4100100,대설,2018,3382
3970000,대설,2018,10878
4070000,대설,2018,3047
4080000,대설,2018,
4090000,대설,2018,15897
5590000,대설,2018,
5700000,대설,2018,1815
4200000,대설,2018,
4220000,대설,2018,
4230000,대설,2018,
4280000,대설,2018,
4320000,대설,2018,
5710000,대설,2018,
4430000,대설,2018,139092
4440000,대설,2018,149465
4460000,대설,2018,119446
4480000,대설,2018,20898
5650000,대설,2018,1195
4500000,대설,2018,
4550000,대설,2018,263431
4640000,대설,2018,
4670000,대설,2018,
4700000,대설,2018,179636
4740000,대설,2018,131403
4750000,대설,2018,22417
4770000,대설,2018,
4780000,대설,2018,
4790000,대설,2018,
4850000,대설,2018,
4950000,대설,2018,
4970000,대설,2018,
5030000,대설,2018,5250
5040000,대설,2018,27640
5050000,대설,2018,358920
5060000,대설,2018,282099
5070000,대설,2018,28696
5080000,대설,2018,398226
5090000,대설,2018,286358
5100000,대설,2018,3790066
5110000,대설,2018,1000576
5120000,대설,2018,12783
5130000,대설,2018,1076516
5140000,대설,2018,1401484
5150000,대설,2018,534042
5160000,대설,2018,535215
5170000,대설,2018,107018
5190000,대설,2018,507038
5210000,대설,2018,722571
5220000,대설,2018,40953
5230000,대설,2018,48721
5240000,대설,2018,361290
5450000,대설,2018,74500
5460000,대설,2018,553137
5470000,대설,2018,620547
5480000,대설,2018,78879
6520000,대설,2018,7414
3260000,"풍랑,강풍",2018,
3300000,"풍랑,강풍",2018,2000
3340000,"풍랑,강풍",2018,
3360000,"풍랑,강풍",2018,
3400000,"풍랑,강풍",2018,
3550000,"풍랑,강풍",2018,1191
3570000,"풍랑,강풍",2018,234729
3950000,"풍랑,강풍",2018,10310
3960100,"풍랑,강풍",2018,7282
4100100,"풍랑,강풍",2018,15207
5620000,"풍랑,강풍",2018,
4060000,"풍랑,강풍",2018,1921
4070000,"풍랑,강풍",2018,
4090000,"풍랑,강풍",2018,24669
5530000,"풍랑,강풍",2018,
5540000,"풍랑,강풍",2018,
5590000,"풍랑,강풍",2018,
5600000,"풍랑,강풍",2018,
4140000,"풍랑,강풍",2018,24232
4160000,"풍랑,강풍",2018,
4200000,"풍랑,강풍",2018,
4220000,"풍랑,강풍",2018,5953
4240000,"풍랑,강풍",2018,
4250000,"풍랑,강풍",2018,
4280000,"풍랑,강풍",2018,
4300000,"풍랑,강풍",2018,14500
4310000,"풍랑,강풍",2018,
4340000,"풍랑,강풍",2018,51326
4350000,"풍랑,강풍",2018,
5720000,"풍랑,강풍",2018,
5735000,"풍랑,강풍",2018,
4390000,"풍랑,강풍",2018,
4430000,"풍랑,강풍",2018,
5570000,"풍랑,강풍",2018,
4450000,"풍랑,강풍",2018,
4740000,"풍랑,강풍",2018,
5010000,"풍랑,강풍",2018,
5030000,"풍랑,강풍",2018,21000
5040000,"풍랑,강풍",2018,38047
5050000,"풍랑,강풍",2018,1692087
5070000,"풍랑,강풍",2018,604664
5090000,"풍랑,강풍",2018,
5110000,"풍랑,강풍",2018,6823
5120000,"풍랑,강풍",2018,
5170000,"풍랑,강풍",2018,
5180000,"풍랑,강풍",2018,21528
5190000,"풍랑,강풍",2018,42312
5370000,"풍랑,강풍",2018,
5380000,"풍랑,강풍",2018,
5400000,"풍랑,강풍",2018,
5430000,"풍랑,강풍",2018,
5460000,"풍랑,강풍",2018,
6510000,"풍랑,강풍",2018,
6520000,"풍랑,강풍",2018,3025
3120000,태풍,2018,
3160000,태풍,2018,
3190000,태풍,2018,
3210000,태풍,2018,
3250000,태풍,2018,
3260000,태풍,2018,538026
3270000,태풍,2018,
3280000,태풍,2018,2116589
3290000,태풍,2018,11045
3300000,태풍,2018,
3310000,태풍,2018,1426900
3320000,태풍,2018,
3330000,태풍,2018,559326
3340000,태풍,2018,41402
