ORGAN_CODE,INSTI_NM,YYMM,VAL
4290000,자치단체,2018,"464,098,142,735"
4300000,자치단체,2018,"440,322,564,170"
4310000,자치단체,2018,"295,206,014,332"
4320000,자치단체,2018,"341,200,263,116"
4330000,자치단체,2018,"407,548,674,628"
4340000,자치단체,2018,"299,462,478,783"
4350000,자치단체,2018,"275,245,731,791"
6430000,자치단체,2018,"4,534,654,874,669"
4390000,자치단체,2018,"931,440,801,038"
4400000,자치단체,2018,"770,953,115,868"
5710000,자치단체,2018,"2,388,249,169,734"
4420000,자치단체,2018,"392,737,599,607"
4430000,자치단체,2018,"387,899,139,480"
4440000,자치단체,2018,"415,928,371,360"
4450000,자치단체,2018,"433,591,692,552"
4460000,자치단체,2018,"397,493,019,150"
4470000,자치단체,2018,"580,841,727,374"
4480000,자치단체,2018,"343,168,572,430"
5570000,자치단체,2018,"208,540,502,949"
6440000,자치단체,2018,"6,720,195,996,285"
4490000,자치단체,2018,"1,659,709,229,211"
4500000,자치단체,2018,"647,858,807,280"
4510000,자치단체,2018,"690,535,974,944"
4520000,자치단체,2018,"1,020,275,361,924"
4530000,자치단체,2018,"809,873,489,513"
4540000,자치단체,2018,"689,492,354,569"
5580000,자치단체,2018,"161,792,487,923"
5680000,자치단체,2018,"843,245,704,570"
4550000,자치단체,2018,"390,760,095,794"
4570000,자치단체,2018,"578,805,578,633"
4580000,자치단체,2018,"504,136,377,634"
4590000,자치단체,2018,"385,315,071,056"
4600000,자치단체,2018,"565,757,915,859"
4610000,자치단체,2018,"592,772,566,186"
4620000,자치단체,2018,"489,019,638,918"
6450000,자치단체,2018,"6,361,734,725,655"
4640000,자치단체,2018,"1,732,688,167,947"
4670000,자치단체,2018,"1,083,609,823,525"
4680000,자치단체,2018,"1,200,540,741,619"
4690000,자치단체,2018,"773,768,846,356"
4700000,자치단체,2018,"695,606,771,093"
4710000,자치단체,2018,"646,957,048,798"
4720000,자치단체,2018,"575,774,892,724"
4730000,자치단체,2018,"381,000,913,839"
4740000,자치단체,2018,"315,340,056,884"
4750000,자치단체,2018,"324,449,606,018"
4760000,자치단체,2018,"364,354,605,956"
4770000,자치단체,2018,"353,176,330,096"
4780000,자치단체,2018,"551,992,599,420"
4790000,자치단체,2018,"536,076,727,920"
6460000,자치단체,2018,"7,533,272,296,530"
4800000,자치단체,2018,"743,943,788,318"
4810000,자치단체,2018,"1,059,713,144,128"
4820000,자치단체,2018,"1,105,064,152,984"
