STDR_YY,ORG_CD,POPUL_CNT,HOHOLD_CNT,RESI_CNT,BUGE_AMT,REGION_CD,ADMDSTRC_CD,FULL_SQUARE,ROAD_SQUARE,CULT_SQUARE,FORE_SQUARE,RIVER_SQUARE,COAST_ADJ_AT,INLAND_CTY_AT,PBORD_AMT,TRSPT_AMT,MNCP_AMT,LCPB_AMT,COAST_LEN,GVN_MNG_SQUARE,GVN_SPRT_SQUARE,ETC_SQUARE,DMG_STORM_FLOOD_AMT,CRTR_ID,LAST_MODUSR_ID,CREAT_DT,LAST_MODF_DT
2017,3550000,323784,117201,221420,401685256407,MPA,SUB_MPC,4556.97713,515.90423,0,1146,0,0,1,6518290756,16873230416,414322907061,105981618791,0,802.98249,1488.37792,2269.23042,3000,skgo,skgo,20230203,20230203
2017,3560000,516017,182582,340283,616661398959,MPA,SUB_MPC,11690.29042,1305.68905,0,3079,41,1,0,9324287180,35789760338,650424988415,29013449998,27.5,1896.43877,3025.25518,6775.88407,637200,skgo,skgo,20230203,20230203
2017,3570000,68754,26402,74559,423573758254,MPA,SUB_MPC,41144.64618,1657.4757,14175.7086,17712,9,1,0,15240659798,51573009337,429292096448,8013997240,270.38,4372.76863,16616.60611,20179.11094,0,skgo,skgo,20230203,20230203
2017,3580000,21573,9450,20610,305323299465,MPA,SUB_MPC,17288.30549,378.28265,0,11407,0,1,0,5296886420,27191924650,310366045822,355313516,576.05,921.32543,3123.64316,13250.2197,600,skgo,skgo,20230203,20230203
2017,3590000,95448,44089,79146,248408877717,HNA,SUB_MPC,4931.73929,274.91949,0,3461,0,0,1,1029830920,5720901690,253875940295,0,0,432.33373,329.84739,4173.58777,0,skgo,skgo,20230203,20230203
2017,3600000,306957,122837,221278,393836097210,HNA,SUB_MPC,4777.57363,633.69584,0,791,419,0,1,1457133910,8680385071,407278612113,1872283843,0,1149.10304,1269.20266,2364.23733,0,skgo,skgo,20230203,20230203
2017,3610000,218454,84836,168229,347999042877,HNA,SUB_MPC,6098.41581,484.89972,0,1795,295,0,1,5479711100,8922860190,354770400303,297803738,0,989.70472,2161.75495,2953.18514,1200,skgo,skgo,20230203,20230203
2017,3620000,438780,176793,334304,562141369251,HNA,SUB_MPC,12030.52952,994.68596,0,5398,359,0,1,1067963470,16800551330,579756379985,0,0,1828.05791,2354.55374,7856.71987,0,skgo,skgo,20230203,20230203
2017,3630000,404131,154513,294637,518282064352,HNA,SUB_MPC,22279.86075,1565.28307,5348.7703,7499,0,0,1,3878872260,9339126976,532052286714,17398393227,0,3659.37544,7706.9767,10928.86641,1200,skgo,skgo,20230203,20230203
2017,3640000,230516,100642,173319,405034810771,CCA,SUB_MPC,13667.09535,779.38182,0,8744,21,0,1,823535250,13432460830,415741570725,90142740,0,2713.7046,1286.52755,9673.7942,0,skgo,skgo,20230203,20230203
2017,3650000,248933,96177,181709,374161292883,CCA,SUB_MPC,6214.17498,459.62294,0,3423,105,0,1,996124640,17920999000,385977091607,0,0,807.80475,580.19467,4831.20946,0,skgo,skgo,20230203,20230203
2017,3660000,487448,193300,314791,556369230884,CCA,SUB_MPC,9550.59435,802.53187,0,5115,138,0,1,3291875970,19898445045,569549535121,17919110,0,1571.99529,1095.26025,6888.98871,1200,skgo,skgo,20230203,20230203
2017,3670000,348428,140386,237440,418811434060,CCA,SUB_MPC,17645.59979,1253.46471,0,9631,420,0,1,2233088120,23531500600,470572329176,558319315,0,2428.48946,2895.55742,12328.65081,0,skgo,skgo,20230203,20230203
2017,3680000,186902,73985,132170,331420141297,CCA,SUB_MPC,6868.95388,637.31161,0,2851,44,0,1,824787540,28805389761,352555551260,0,0,1860.06553,1082.49955,3930.6009,0,skgo,skgo,20230203,20230203
2017,3690000,238652,90480,158287,316205510041,YNA,SUB_MPC,3700.90561,402.04208,0,1422,10,0,1,6010742750,23184567455,324598640426,4995710035,0,777.62031,480.90028,2446.59832,0,skgo,skgo,20230203,20230203
2017,3700000,335439,130563,226321,411928880943,YNA,SUB_MPC,7346.06634,772.46752,0,1757,0,1,0,7076879440,23332659800,427199940526,17141741530,33.05,1272.0829,2575.98582,3503.44402,0,skgo,skgo,20230203,20230203
2017,3710000,169605,64353,114726,245355616994,YNA,SUB_MPC,3603.65159,275.53949,0,1872,0,1,0,2966335180,10798385550,251434057933,0,45.19,360.04162,800.52208,2445.17709,0,skgo,skgo,20230203,20230203
2017,3720000,200718,69101,135878,314651126712,YNA,SUB_MPC,15733.59253,529.13952,0,11094,12,1,0,1811630960,16155796775,321612296795,444616987,18.1,1441.5256,3196.80695,11102.72568,1367,skgo,skgo,20230203,20230203
2017,3730000,220718,83392,174635,911967506966,YNA,SUB_MPC,75733.48891,2503.05424,8767.8543,51856,4,1,0,12215234350,124766655460,926040410116,16886783112,53.89,6772.43687,13393.17044,55598.1735,174,skgo,skgo,20230203,20230203
2017,3740000,1202628,465209,735266,2261148074177,MPA,MNC,12105.43754,1532.12698,1051.0331,2593,376,0,1,20114134260,279454683403,2365401527644,120441816677,0,2202.89927,2195.453,7720.13927,53400,skgo,skgo,20230203,20230203
2017,3780000,967510,369366,551878,2055623589891,MPA,MNC,14165.91639,1568.25522,460.5323,6881,375,0,1,17353915450,225548521880,2360929583395,174672828189,0,2179.92573,1210.59838,10784.81928,16200,skgo,skgo,20230203,20230203
2017,3820000,441584,161772,291183,838999114515,MPA,MNC,8153.94185,623.17144,328.3887,4690,156,0,1,3932983050,97204433157,870101482807,40798499234,0,995.26544,840.90014,6323.20367,12000,skgo,skgo,20230203,20230203
2017,3830000,587764,209878,367106,1056979106033,MPA,MNC,5849.75321,587.10657,64.1742,2993,0,0,1,10905492160,110178790570,1116838360085,65183308600,0,830.6378,291.89222,4731.22439,0,skgo,skgo,20230203,20230203
2017,3860000,850329,318135,534238,1467849360990,MPA,MNC,5344.2446,939.42704,534.6451,955,68,0,1,12945452600,131284111070,1519420375477,91687008103,0,1116.41469,950.82815,3283.22486,15000,skgo,skgo,20230203,20230203
2017,3900000,332790,120086,213186,647501562246,MPA,MNC,3852.02321,416.965,448.0164,1472,45,0,1,5236000510,38970661920,716233289373,21866384793,0,695.4624,779.8662,2379.96021,51379,skgo,skgo,20230203,20230203
2017,3910000,481530,187516,379424,1424637567485,MPA,MNC,45807.61208,2854.69131,18740.1232,7762,71,1,0,7561562830,184084378996,1491554693638,138896075105,53.66,8470.70416,22448.48208,14924.16744,52385,skgo,skgo,20230203,20230203
2017,3920000,97071,38008,78506,325577924062,MPA,MNC,9565.88086,279.27135,393.3372,6289,109,0,1,4629056460,37163961140,341974361735,0,0,684.53325,1082.20866,7803.22895,2400,skgo,skgo,20230203,20230203
2017,3930000,677710,282608,408050,1422909257839,MPA,MNC,15519.8095,1681.77042,1970.021,6205,208,1,0,7132763240,133629732586,1660433961532,138038211093,92.7,2658.41768,3950.46767,8920.63045,49800,skgo,skgo,20230203,20230203
2017,3940000,1041983,370113,631589,1665939994850,MPA,MNC,26805.92187,1978.35208,3806.0671,9236,2518,0,1,38290975060,163587459290,1732621667905,193344603175,0,5574.17828,6518.86165,14730.61084,61651,skgo,skgo,20230203,20230203
2017,3970000,57527,18637,25973,201998758770,MPA,MNC,3586.80732,222.20712,224.6135,2327,3,0,1,1660848170,14318272640,294764391279,23305802276,0,349.97286,487.2109,2751.28286,0,skgo,skgo,20230203,20230203
2017,3980000,200042,69553,115695,395211929010,MPA,MNC,3331.17894,313.59627,302.7092,1284,797,0,1,12139076790,25785564130,432668446813,27497183069,0,807.02796,607.87866,1919.06532,0,skgo,skgo,20230203,20230203
2017,3990000,665321,227198,434763,1263735139651,MPA,MNC,45807.08912,1436.23475,2779.6324,30822,1285,0,1,5965398260,125694286950,1305530048146,81559969047,0,4568.2092,6971.61905,34288.68567,141615,skgo,skgo,20230203,20230203
2017,4000000,213437,84314,140232,445596768098,MPA,MNC,4272.65129,516.04007,448.7696,1074,63,0,1,6945752920,65789861290,456967087851,19453323320,0,771.16483,1221.8435,2283.64186,0,skgo,skgo,20230203,20230203
2017,4010000,419664,169630,267554,1082395970102,MPA,MNC,13760.79395,1775.64171,2520.7167,4156,173,1,0,11294748600,110011577348,1125239679603,82887141224,23.32,2577.7894,4948.09844,6244.09411,294600,skgo,skgo,20230203,20230203
2017,4020000,281205,102190,176247,535038641457,MPA,MNC,3641.58856,370.34019,187.6684,1663,25,0,1,2904410660,59452824609,577404292396,40606212902,0,545.01147,597.67874,2501.09605,172500,skgo,skgo,20230203,20230203
2017,4030000,155767,54406,97000,365124227614,MPA,MNC,5398.6775,481.90214,488.324,3392,79,0,1,3436040410,43510245470,379743527426,21199666482,0,923.08276,809.89317,3668.76107,24600,skgo,skgo,20230203,20230203
2017,4040000,232487,81467,135510,448672365860,MPA,MNC,9300.68639,520.77157,298.0286,4810,941,0,1,2021200760,59180064950,504061411820,119063803867,0,1757.42219,1545.99942,6003.39738,8400,skgo,skgo,20230203,20230203
2017,4050000,1004081,346336,643036,1989525048545,MPA,MNC,59135.09415,2288.88512,7234.1098,29908,1084,0,1,11433815640,382810987570,2051654350300,251018136751,0,5286.49292,12308.29349,41571.69984,27000,skgo,skgo,20230203,20230203
2017,4060000,437848,153581,299853,1049798719820,MPA,MNC,67311.50345,2433.47043,10768.855,26947,4981,0,1,8027715580,70153036920,1072356500266,23770423100,0,9128.43773,20338.52607,37874.88305,0,skgo,skgo,20230203,20230203
2017,4070000,213142,79317,164214,740311235721,MPA,MNC,46142.62218,2336.35282,16832.4257,16460,351,0,1,5492398190,119852811980,759136615487,7138041595,0,5321.70965,19189.66306,21657.34357,73941,skgo,skgo,20230203,20230203
