ORGAN_CODE,YY,VAL
5030000,2019,"235,633"
5040000,2019,"271,392"
5050000,2019,"255,402"
5060000,2019,"141,229"
5070000,2019,"160,052"
5080000,2019,"419,742"
5090000,2019,"105,067"
5100000,2019,"102,470"
5110000,2019,"100,688"
5120000,2019,"72,242"
5130000,2019,"263,185"
5140000,2019,"23,843"
5150000,2019,"52,595"
5160000,2019,"25,416"
5170000,2019,"16,993"
5180000,2019,"37,361"
5190000,2019,"42,910"
5200000,2019,"32,373"
5210000,2019,"44,015"
5220000,2019,"117,047"
5230000,2019,"55,100"
5240000,2019,"32,150"
5250000,2019,"49,314"
5260000,2019,"9,617"
6480000,2019,"3,362,553"
5670000,2019,"1,044,740"
5670123,2019,"258,582"
5670140,2019,"220,945"
5670156,2019,"177,784"
5670184,2019,"193,807"
5670206,2019,"193,622"
5310000,2019,"347,334"
5330000,2019,"131,404"
5340000,2019,"111,925"
5350000,2019,"542,455"
5360000,2019,"105,552"
5370000,2019,"248,276"
5380000,2019,"350,759"
5390000,2019,"27,168"
5400000,2019,"65,700"
5410000,2019,"62,331"
5420000,2019,"52,276"
5430000,2019,"43,622"
5440000,2019,"46,574"
5450000,2019,"35,417"
5460000,2019,"39,637"
5470000,2019,"62,179"
5480000,2019,"45,204"
6500000,2019,"670,989"
6510000,2019,"489,405"
6520000,2019,"181,584"
6110000,2020,"9,668,465"
3000000,2020,"149,384"
3010000,2020,"125,240"
3020000,2020,"230,040"
3030000,2020,"293,556"
3040000,2020,"346,682"
3050000,2020,"342,837"
3060000,2020,"394,702"
3070000,2020,"437,153"
3080000,2020,"308,055"
3090000,2020,"325,257"
3100000,2020,"523,037"
3110000,2020,"479,835"
3120000,2020,"312,173"
3130000,2020,"371,890"
3140000,2020,"454,251"
3150000,2020,"580,185"
3160000,2020,"404,408"
3170000,2020,"231,733"
3180000,2020,"379,480"
3190000,2020,"391,220"
3200000,2020,"495,060"
3210000,2020,"425,126"
3220000,2020,"539,231"
3230000,2020,"667,960"
3240000,2020,"459,970"
6260000,2020,"3,391,946"
3250000,2020,"41,523"
3260000,2020,"108,135"
3270000,2020,"88,901"
3280000,2020,"113,342"
3290000,2020,"359,886"
3300000,2020,"270,745"
3310000,2020,"267,731"
3320000,2020,"283,952"
3330000,2020,"402,169"
3340000,2020,"311,757"
3350000,2020,"232,666"
3360000,2020,"137,957"
3370000,2020,"209,157"
3380000,2020,"176,894"
3390000,2020,"212,586"
3400000,2020,"174,545"
6270000,2020,"2,418,346"
3410000,2020,"76,547"
3420000,2020,"341,920"
3430000,2020,"170,700"
3440000,2020,"146,632"
3450000,2020,"440,263"
3460000,2020,"424,314"
3470000,2020,"558,631"
3480000,2020,"259,339"
6280000,2020,"2,942,828"
3490000,2020,"139,729"
3500000,2020,"62,542"
3510500,2020,"404,343"
3520000,2020,"387,450"
3530000,2020,"525,354"
3540000,2020,"494,962"
3550000,2020,"296,750"
3560000,2020,"542,040"
3570000,2020,"69,203"
3580000,2020,"20,455"
6290000,2020,"1,450,062"
3590000,2020,"102,897"
3600000,2020,"296,576"
3610000,2020,"214,579"
3620000,2020,"430,431"
3630000,2020,"405,579"
6300000,2020,"1,463,882"
3640000,2020,"223,021"
3650000,2020,"235,550"
3660000,2020,"477,880"
3670000,2020,"351,047"
3680000,2020,"176,384"
6310000,2020,"1,136,017"
3690000,2020,"217,595"
3700000,2020,"320,064"
3710000,2020,"156,806"
3720000,2020,"219,014"
3730000,2020,"222,538"
5690000,2020,"355,831"
5690000,2020,"355,831"
6410000,2020,"13,427,014"
3740000,2020,"1,186,078"
3750000,2020,"273,661"
3760000,2020,"368,645"
3770000,2020,"174,930"
5610000,2020,"368,842"
3780000,2020,"940,064"
3790000,2020,"241,701"
3800000,2020,"216,131"
3810000,2020,"482,232"
3820000,2020,"461,710"
3830000,2020,"550,027"
3840000,2020,"239,413"
3850000,2020,"310,614"
3860000,2020,"818,383"
3900000,2020,"298,599"
3910000,2020,"537,307"
3920000,2020,"94,353"
3930000,2020,"654,915"
5550000,2020,"351,888"
5560000,2020,"303,027"
3940000,2020,"1,079,216"
3950000,2020,"476,962"
3960100,2020,"299,716"
4100100,2020,"302,538"
3970000,2020,"63,231"
3980000,2020,"197,454"
3990000,2020,"713,321"
4000000,2020,"229,725"
4010000,2020,"500,895"
