ORGAN_CODE,FIELD_NM,YY,VAL
3420000,단독주택-영업겸용,2017,3931
3420000,아파트,2017,75672
3420000,연립주택,2017,2288
3420000,다세대주택,2017,13138
3420000,비거주용건물내주택,2017,1845
3430000,주택,2017,54424
3430000,단독주택-계,2017,23261
3430000,단독주택-일반,2017,5495
3430000,단독주택-다가구,2017,13436
3430000,단독주택-영업겸용,2017,4330
3430000,아파트,2017,18223
3430000,연립주택,2017,737
3430000,다세대주택,2017,11025
3430000,비거주용건물내주택,2017,1178
3440000,주택,2017,41877
3440000,단독주택-계,2017,20497
3440000,단독주택-일반,2017,7713
3440000,단독주택-다가구,2017,9578
3440000,단독주택-영업겸용,2017,3206
3440000,아파트,2017,14259
3440000,연립주택,2017,573
3440000,다세대주택,2017,5649
3440000,비거주용건물내주택,2017,899
3450000,주택,2017,140387
3450000,단독주택-계,2017,20625
3450000,단독주택-일반,2017,6455
3450000,단독주택-다가구,2017,9629
3450000,단독주택-영업겸용,2017,4541
3450000,아파트,2017,109812
3450000,연립주택,2017,1810
3450000,다세대주택,2017,6254
3450000,비거주용건물내주택,2017,1886
3460000,주택,2017,133564
3460000,단독주택-계,2017,22126
3460000,단독주택-일반,2017,5100
3460000,단독주택-다가구,2017,12504
3460000,단독주택-영업겸용,2017,4522
3460000,아파트,2017,101717
3460000,연립주택,2017,1277
3460000,다세대주택,2017,7297
3460000,비거주용건물내주택,2017,1147
3470000,주택,2017,179539
3470000,단독주택-계,2017,21286
3470000,단독주택-일반,2017,2175
3470000,단독주택-다가구,2017,13611
3470000,단독주택-영업겸용,2017,5500
3470000,아파트,2017,148156
3470000,연립주택,2017,1354
3470000,다세대주택,2017,6758
3470000,비거주용건물내주택,2017,1985
3480000,주택,2017,90122
3480000,단독주택-계,2017,13265
3480000,단독주택-일반,2017,9807
3480000,단독주택-다가구,2017,1547
3480000,단독주택-영업겸용,2017,1911
3480000,아파트,2017,73267
3480000,연립주택,2017,635
3480000,다세대주택,2017,2037
3480000,비거주용건물내주택,2017,918
6280000,주택,2017,969588
6280000,단독주택-계,2017,100868
6280000,단독주택-일반,2017,54569
6280000,단독주택-다가구,2017,28326
6280000,단독주택-영업겸용,2017,17973
6280000,아파트,2017,597929
6280000,연립주택,2017,25079
6280000,다세대주택,2017,237716
6280000,비거주용건물내주택,2017,7996
3490000,주택,2017,42011
3490000,단독주택-계,2017,8010
3490000,단독주택-일반,2017,5009
3490000,단독주택-다가구,2017,1445
3490000,단독주택-영업겸용,2017,1556
3490000,아파트,2017,23928
3490000,연립주택,2017,1772
3490000,다세대주택,2017,7641
3490000,비거주용건물내주택,2017,660
3500000,주택,2017,25063
3500000,단독주택-계,2017,7138
3500000,단독주택-일반,2017,4405
3500000,단독주택-다가구,2017,1308
3500000,단독주택-영업겸용,2017,1425
3500000,아파트,2017,14393
3500000,연립주택,2017,258
3500000,다세대주택,2017,2987
3500000,비거주용건물내주택,2017,287
3520000,주택,2017,101399
3520000,단독주택-계,2017,3602
3520000,단독주택-일반,2017,962
3520000,단독주택-다가구,2017,1495
3520000,단독주택-영업겸용,2017,1145
3520000,아파트,2017,90389
3520000,연립주택,2017,872
3520000,다세대주택,2017,6235
3520000,비거주용건물내주택,2017,301
3530000,주택,2017,177023
3530000,단독주택-계,2017,8565
3530000,단독주택-일반,2017,1826
3530000,단독주택-다가구,2017,4205
3530000,단독주택-영업겸용,2017,2534
3530000,아파트,2017,120154
3530000,연립주택,2017,2003
3530000,다세대주택,2017,45049
3530000,비거주용건물내주택,2017,1252
3540000,주택,2017,173133
3540000,단독주택-계,2017,13064
3540000,단독주택-일반,2017,3835
3540000,단독주택-다가구,2017,6628
3540000,단독주택-영업겸용,2017,2601
3540000,아파트,2017,108199
3540000,연립주택,2017,4383
3540000,다세대주택,2017,46044
3540000,비거주용건물내주택,2017,1443
3550000,주택,2017,108663
3550000,단독주택-계,2017,4094
3550000,단독주택-일반,2017,1333
3550000,단독주택-다가구,2017,1688
3550000,단독주택-영업겸용,2017,1073
3550000,아파트,2017,68650
3550000,연립주택,2017,2149
3550000,다세대주택,2017,33090
3550000,비거주용건물내주택,2017,680
3560000,주택,2017,165819
3560000,단독주택-계,2017,8645
3560000,단독주택-일반,2017,2224
3560000,단독주택-다가구,2017,4164
3560000,단독주택-영업겸용,2017,2257
3560000,아파트,2017,106269
3560000,연립주택,2017,8743
3560000,다세대주택,2017,41172
3560000,비거주용건물내주택,2017,990
3510500,주택,2017,141760
3510500,단독주택-계,2017,22015
3510500,단독주택-일반,2017,12044
3510500,단독주택-다가구,2017,5996
3510500,단독주택-영업겸용,2017,3975
3510500,아파트,2017,63322
3510500,연립주택,2017,3561
3510500,다세대주택,2017,51241
3510500,비거주용건물내주택,2017,1621
3570000,주택,2017,27350
3570000,단독주택-계,2017,19859
3570000,단독주택-일반,2017,18369
3570000,단독주택-다가구,2017,607
3570000,단독주택-영업겸용,2017,883
3570000,아파트,2017,2344
3570000,연립주택,2017,1011
3570000,다세대주택,2017,3577
3570000,비거주용건물내주택,2017,559
3580000,주택,2017,7367
3580000,단독주택-계,2017,5876
3580000,단독주택-일반,2017,4562
3580000,단독주택-다가구,2017,790
3580000,단독주택-영업겸용,2017,524
3580000,아파트,2017,281
3580000,연립주택,2017,327
3580000,다세대주택,2017,680
3580000,비거주용건물내주택,2017,203
6290000,주택,2017,505471
6290000,단독주택-계,2017,86652
6290000,단독주택-일반,2017,41575
6290000,단독주택-다가구,2017,31105
6290000,단독주택-영업겸용,2017,13972
6290000,아파트,2017,395976
6290000,연립주택,2017,8427
6290000,다세대주택,2017,8505
6290000,비거주용건물내주택,2017,5911
3590000,주택,2017,33266
3590000,단독주택-계,2017,12614
3590000,단독주택-일반,2017,7466
3590000,단독주택-다가구,2017,3364
3590000,단독주택-영업겸용,2017,1784
3590000,아파트,2017,16485
3590000,연립주택,2017,964
3590000,다세대주택,2017,2257
3590000,비거주용건물내주택,2017,946
3600000,주택,2017,103503
3600000,단독주택-계,2017,14272
3600000,단독주택-일반,2017,4921
3600000,단독주택-다가구,2017,6429
3600000,단독주택-영업겸용,2017,2922
3600000,아파트,2017,85485
3600000,연립주택,2017,1162
3600000,다세대주택,2017,1550
3600000,비거주용건물내주택,2017,1034
3610000,주택,2017,75784
3610000,단독주택-계,2017,16661
3610000,단독주택-일반,2017,8017
3610000,단독주택-다가구,2017,6602
3610000,단독주택-영업겸용,2017,2042
3610000,아파트,2017,55541
3610000,연립주택,2017,1483
3610000,다세대주택,2017,1236
3610000,비거주용건물내주택,2017,863
3620000,주택,2017,154667
3620000,단독주택-계,2017,24970
3620000,단독주택-일반,2017,9886
3620000,단독주택-다가구,2017,10876
3620000,단독주택-영업겸용,2017,4208
3620000,아파트,2017,122601
3620000,연립주택,2017,2189
3620000,다세대주택,2017,2753
3620000,비거주용건물내주택,2017,2154
3630000,주택,2017,138251
3630000,단독주택-계,2017,18135
3630000,단독주택-일반,2017,11285
3630000,단독주택-다가구,2017,3834
3630000,단독주택-영업겸용,2017,3016
3630000,아파트,2017,115864
